Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
0,6656192;0,2469339;-158;0,04631233;-0,09327984;-9,831961;39,52789;50,04883;9;1;1;0;0;52;782146333;0;0;0;0;4294967295;3750000384;7435;18000000;550740500;12;0;695;-680;10;0,0655349;0,4998158;-0,4193813;1,042269;1,733031E+07;173,3867;1064959
0,6684257;0,2538123;-158;0,05585766;-0,09072208;-9,812323;39,52789;50,04883;9;1;1;0;0;53;62146466;0;0;0;0;4294967295;3750000384;7452;18000000;550740750;12;0;698;-692;10;0,06832383;0,5077419;-0,4218827;1,048124;1,733031E+07;173,3867;1064959
0,7211435;0,2530381;-159;0,05834675;-0,09319115;-9,81715;39,54803;50,04883;9;1;1;0;0;53;642146266;0;0;0;0;4294967295;3750000384;7502;18000000;550741500;12;0;704;-719;10;0,07126409;0,5253066;-0,4296924;1,059965;1,733031E+07;173,3867;1064959
0,7465826;0,2406517;-159;0,05112457;-0,09079456;-9,827065;39,53796;50,04883;9;1;1;0;0;54;262146266;0;0;0;0;4294967295;3750000384;7535;18000000;550742000;12;0;711;-748;10;0,07346693;0,5503288;-0,4374329;1,071966;1,733031E+07;173,3867;1064959
0,7386878;0,2265504;-159;0,04864597;-0,09078026;-9,822188;39,52286;50,04883;9;1;1;0;0;54;542146266;0;0;0;0;4294967295;3750000384;7552;18000000;550742250;12;0;715;-762;10;0,07428613;0,5608312;-0,44151;1,078019;1,733031E+07;173,3867;1064959
0,7582389;0,2217473;-159;0,04370975;-0,09565449;-9,812337;39,56818;50,04883;9;1;1;0;0;54;862146266;0;0;0;0;4294967295;3750000640;7585;18000000;550742750;12;0;718;-779;11;0,07731602;0,5738381;-0,4458302;1,084105;1,733031E+07;173,3867;1064959
0,7485535;0,2197493;-160;0,05110168;-0,09078407;-9,824615;39,54803;50,04883;9;1;1;0;0;55;422146133;0;0;0;0;4294967295;3750000640;7617;18000000;550743250;12;0;725;-808;11;0,08207032;0,5975309;-0,4525026;1,096363;1,733031E+07;173,3867;1064959
0,7629593;0,2183371;-160;0,04615498;-0,09320736;-9,814814;39,55811;50,04883;9;1;1;0;0;55;982146333;0;0;0;0;4294967295;3750000640;7650;18000000;550743750;12;0;731;-838;11;0,08766913;0,6222537;-0,4585337;1,106659;1,733031E+07;173,3867;1064959
0,7378723;0,2197963;-160;0,06075859;-0,08338356;-9,819771;39,57321;50,04883;9;1;1;0;0;56;302146133;0;0;0;0;4294967295;3750000640;7683;18000000;550744250;12;0;735;-856;11;0,09002358;0,6362364;-0,4619229;1,114939;1,733031E+07;173,3867;1064959
0,7595506;0,2917593;-161;0,03408909;-0,08593655;-9,82977;39,57321;50,04883;9;1;1;0;0;58;62146266;0;0;0;0;4294967295;3750000640;7780;18000000;550745750;12;0;756;-963;12;0,09415172;0,7129951;-0,4847369;1,150482;1,733031E+07;173,3867;1064959
0,7484977;0,2282353;-162;0,07053757;-0,08827877;-9,822033;39,59335;50,12512;9;1;1;0;0;59;282146266;0;0;0;0;4294967295;3750000640;7860;18000000;550747000;12;0;772;-1044;13;0,0911568;0,7696142;-0,4974267;1,175815;1,733031E+07;173,3867;1064959
0,7463002;0,2166806;-162;0,05337906;-0,09070683;-9,807446;39,59335;50,04883;9;1;1;0;0;59;582146333;0;0;0;0;4294967295;3750000640;7876;18000000;550747250;12;0;776;-1065;13;0,09241289;0,783887;-0,5012816;1,182173;1,733031E+07;173,3867;1064959
0,7611851;0,2253832;-162;0,04383564;-0,08347225;-9,832177;39,58328;50,04883;9;1;1;0;0;59;842146333;0;0;0;0;4294967295;3750000640;7907;18000000;550747750;12;0;780;-1083;13;0,09350448;0,796301;-0,5048947;1,188539;1,733031E+07;173,3867;1064959
0,7596153;0,2209835;-162;0,05829144;-0,08582115;-9,814846;39,59335;50,12512;13;5;18;8;58;53;244895336;0;0;0;0;4294967295;3750000640;7923;18000000;550748000;12;0;785;-1108;13;0,09554011;0,8131539;-0,5093977;1,194913;1,733031E+07;173,3867;1327103
0,7650052;0,2528221;-162;0,04619217;-0,076087;-9,827403;39,57825;50,12512;13;5;18;8;58;53;614966736;0;0;0;0;4294967295;3750000640;7939;18000000;550748250;12;0;789;-1131;13;0,09673436;0,8280428;-0,5137402;1,203426;1,733031E+07;173,3867;1327103
0,7539679;0,2226266;-163;0,04622078;-0,09813499;-9,819614;39,56314;50,12512;13;5;18;8;58;54;164952536;0;0;0;0;4294967295;3750000640;7986;18000000;550749000;12;0;797;-1176;13;0,09950878;0,8554309;-0,5208697;1,216225;1,733031E+07;173,3867;1327103
0,763932;0,2282514;-163;0,04131317;-0,0785408;-9,824949;39,57825;50,12512;13;5;18;8;58;54;434801402;0;0;0;0;4294967295;3750000640;8002;18000000;550749250;12;0;802;-1201;14;0,100076;0,870532;-0,5247433;1,22264;1,733031E+07;173,3867;1327103
0,7511656;0,2064202;-163;0,04129982;-0,08587933;-9,819903;39,57825;50,12512;13;5;18;8;58;54;764900802;0;0;0;0;4294967295;3750000640;8017;18000000;550749500;12;0;806;-1223;14;0,1010256;0,8846014;-0,5276631;1,229065;1,733031E+07;173,3867;1327103
0,7359254;0,1360483;-164;0,03885651;-0,08343124;-9,819975;39,59839;50,12512;13;5;18;8;58;56;304932630;0;0;0;0;4294967295;3750000896;8110;18000000;550751000;12;0;826;-1351;15;0,1230547;0,9602157;-0,5466281;1,261404;1,733031E+07;173,3867;1327103
0,7993048;0,1179779;-165;0,04629326;-0,07858276;-9,837152;39,58328;50,12512;13;5;18;8;58;57;244979096;0;0;0;0;4294967295;3750000896;8172;18000000;550752000;12;0;838;-1435;15;0,1390298;1,002845;-0,5591799;1,281439;1,733031E+07;173,3867;1327103
0,8236502;0,08951891;-165;0,04868221;-0,07855606;-9,832231;39,58328;50,12512;13;5;18;8;58;57;844942230;0;0;0;0;4294967295;3750000896;8202;18000000;550752500;12;0;844;-1490;15;0,1497498;1,036905;-0,5672085;1,294984;1,733031E+07;173,3867;1327103
